0.001,100,0.00000000,0.08099915,0.05845656
0.005,100,0.00000000,0.30892405,0.20187005
0.01,100,0.00000000,0.46463859,0.26363562
0.05,100,0.00000000,0.76126523,0.12458506
0.1,100,0.00000000,0.84639052,0.03957535
0.5,100,0.00000000,0.87640891,0.00955697
1,100,0.00000000,0.87640922,0.00955665
5,100,547577262766999704637423973151527687515446617778325055045908542340988928.00000000,-2994556079497433296065381004402651603375155974269281593220747874083741826640654555414528.00000000,-2994556079497433296065381004402651603375155974269281593220747874083741826640654555414528.00000000
10,100,499647918182785413224549599617938048929376836467137348612380088347618836462995699130712351525702478069760.00000000,-2301634003459748246099555505893541841103494794940867641144164208593713634208114634861540929083952605307304116699751514112.00000000,-2301634003459749106161536502170358695161330533223470439856035146699135035803929404957619462265755631564261532996883972096.00000000
0.01,100,0.00000000,0.46463859,0.26363562
